Nombre;Name;Tipo;Type;Institucion;Institution;Lugar;Location;Start;End;Hours
Software aplicado a Geología;Software applied to Geology;Curso;Course;Universidad Central del Ecuador;Central University of Ecuador;Quito, Ecuador;Quito, Ecuador;2016;2026;-
Modelación y Software Minero;Minning Software and Modelling;Curso;Course;Universidad Central del Ecuador;Central University of Ecuador;Quito, Ecuador;Quito, Ecuador;2016;2026;-
Estadística y Probabilidades;Statistics and Probabilities;Curso;Course;Universidad Central del Ecuador;Central University of Ecuador;Quito, Ecuador;Quito, Ecuador;2016;2026;-
Predicción de deslizamientos mediante Machine Learning y Deep Learning;Landslide Prediction Using Machine Learning and Deep Learning;Conferencia;Conference;I Convención Internacional de la FCI. Impacto de la Inteligencia Artificial en la Ingeniería;1st FCI International Conference. The Impact of Artificial Intelligence on Engineering;Santa Elena, Ecuador;Santa Elena, Ecuador;08-10-2024;10-10-2024;1
Sistemas de Información Geográfica QGIS y SAGA-GIS;Geographical Information Systems QGIS & SAGA-GIS;Curso;Course;Universidad Central del Ecuador;Central University of Ecuador;Quito, Ecuador;Quito, Ecuador;19-10-2022;28-10-2022;-
Rstudio y lenguaje de programación R;RStudio & R programming language for Engineering;Curso;Course;Universidad Central del Ecuador;Central University of Ecuador;Quito, Ecuador;Quito, Ecuador;19-10-2022;28-10-2022;-
Webpage Categorization using Deep Learning;Webpage Categorization using Deep Learning;Conferencia;Conference;16th  International  Conference  on  Soft  Computing  Models  in  Industrial  and Environmental Applications (SOCO'21);16th  International  Conference  on  Soft  Computing  Models  in  Industrial  and Environmental Applications (SOCO'21);Bilbao, España;Bilbao, Spain;22-09-2021;22-09-2021;1
Cartografía y Modelización Geológica Digital;Digital Geological Mapping and Modeling;Taller;Workshop;Universidad Central del Ecuador;Central University of Ecuador;Quito, Ecuador;Quito, Ecuador;09-09-2019;13-09-2019;60
Dibujo Técnico;Engineering Drawing;Curso;Course;Universidad Central del Ecuador;Central University of Ecuador;Quito, Ecuador;Quito, Ecuador;10-2013;08-2016;-
Sistemas ERP;ERP Systems;Curso;Course;Universidad Panamericana de Cuenca;Panamerican University of Cuenca;Cuenca, Ecuador;Quito, Ecuador;11-2012;12-2012;-
Programación Java;Java Programming;Curso;Course;Universidad Politécnica Salesania;Polytechnic University "Salesiana";Quito, Ecuador;Quito, Ecuador;06-2009;06-2009;-
Java-Based Framework for Implementing Soft Real-Time Distributed Applications;Java-Based Framework for Implementing Soft Real-Time Distributed Applications;Conferencia;Conference;9th International Conference on Computer Science in Mexico (ENC'08);9th International Conference on Computer Science in Mexico (ENC'08);Mexicali, B.C., México;Mexicali, B.C., Mexico;06-10-2008;06-10-2008;1
