Type;Event;Sponsor;Hours;Certificate;Certification by;Start date;End date;Country
Curso;Sensibilización En Discapacidades;CONADIS;40;Aprobación;CONADIS;01/05/2025;04/05/2025;Ecuador
Congreso;VIII Congreso Internacional de Investigación REDU 2021;Universidad Técnica de Ambato;32;Aprobación;REDU;11/2021;11/2021;Ecuador
Curso;Estrategias para la Enseñanza y Aprendizaje;Universidad Central del Ecuador;60;Aprobación;Dirección de Desarrollo Académico;07/05/2021;20/06/2021;Ecuador
Curso;Facial Expression Recognition with Keras;Universidad Central del Ecuador;4;Aprobación;Coursera Project Network;10/06/2021;10/06/2021;Online
Curso;Deep Learning e Inteligencia Artificial con Keras y Tensorflow;Universidad Central del Ecuador;16.5;Aprobación;Udemy;25/03/2020;25/03/2020;Online
Curso;Curso Práctico del Software LEAPFROG GEO;Universidad Central del Ecuador;16;Aprobación;Seequent y SEG UCE FIGEMPA Student Chapter;27/04/2019;27/04/2019;Ecuador
Curso;Planificación y Diseño con GEMCOM;Universidad Central del Ecuador;40;Aprobación;GEOIL Company S.A., SME UCE Student Chapter, FIGEMPA;04/2019;04/2019;Ecuador
Curso;Implementación de Herramientas de Simulación Computacional de Ingeniería;Bereziak Equipos y Maquinarias;8;Aprobación;Engineering Simulation and Scientific Software (ESSS);04/10/2018;04/10/2018;Ecuador
Taller;Guía para la Elaboración y Presentación de Artículos Científicos;Universidad Central del Ecuador;24;Aprobación;FIGEMPA;05/09/2018;05/09/2018;Ecuador
Curso;Gestión De Topografía Y Diseño De Minado Superficial Y Subterráneo Con Software Minero Recmin;Asociación De Estudiantes De La Facultad De Ingeniería En Geología, Minas, Petróleos Y Ambiental De La Universidad Central Del Ecuador;40;Aprobación;Ing. Claudio Efraín Zhunaula Saca (Instructor Autorizado De Recmin En Ecuador);14/05/2018;18/05/2018;Ecuador
Taller;Taller De Capacitación Docente En Estadística Espacial Y Temporal;Universidad Central Del Ecuador. Facultad De Ciencias Agrícolas;50;Aprobación;Vicerrectorado De Investigación, Doctorados E Innovación;22/01/2018;26/01/2018;Ecuador
Taller;Taller Internacional De Aseguramiento Y Control De La Calidad En La Exploración Geológica Y Minera;Datamine Software & Ferlat;24;Aprobación;Datamine Software & Ferlat;28/10/2017;30/10/2017;Ecuador
Curso;Acreditación De Tutores Para Proyectos De Investigación;Universidad Central Del Ecuador. Dirección De Desarrollo Académico;40;Aprobación;Universidad Central Del Ecuador. Dirección De Desarrollo Académico;25/09/2017;29/09/2017;Ecuador
Curso;Recursos Tecnológicos Para La Docencia Universitaria;Universidad Central Del Ecuador.Dirección De Desarrollo Académico;40;Aprobación;Universidad Central Del Ecuador.Dirección De Desarrollo Académico;12/09/2016;16/09/2016;Ecuador
Curso;Curso Inicial De Formación Docente En Pedagogía;Universidad Central Del Ecuador. Instituto Universitario De Capacitación Pedagógica;48;Aprobación;Universidad Central Del Ecuador. Instituto Universitario De Capacitación Pedagógica;27/06/2016;01/07/2016;Ecuador
Conferencia;Desarrollo Responsable;PETROAMAZONAS EP;8;Asistencia;PETROAMAZONAS EP;20/10/2015;20/10/2015;Ecuador
Seminario;Formación Docente Plataforma Virtual Sakai;Universidad Central Del Ecuador. Instituto Universitario De Capacitación Pedagógica (IUCP);20;Aprobación;Universidad Central Del Ecuador. Instituto Universitario De Capacitación Pedagógica (IUCP);03/03/2014;31/03/2014;Ecuador
Jornada;I Convocatoria De Proyectos De Investigación Científica, Desarrollotecnológico E Innovación;Universidad Estatal De Bolívar;8;Asistencia;Universidad Estatal De Bolívar;28/10/2011;28/10/2011;Ecuador
Taller;SUGAR CRM;IT Academy;8;Aprobación;IT Academy;17/12/2010;17/12/2010;Ecuador
Congreso;IX Encuentro Internacional Mexicano De Ciencias De La Computación (Enc'08);Universidad Autónoma De Baja California Y Sociedad Mexicana De Ciencia De La Computación;40;Asistencia;Universidad Autónoma De Baja California Y Sociedad Mexicana De Ciencia De La Computación;06/10/2008;10/10/2008;México
Curso;Aspectos Computacionales De La Implementación En Software De Curvas Elípticas;Centro De Investigación Y De Estudios Avanzados Del IPN;16;Asistencia;Centro De Investigación Y De Estudios Avanzados Del IPN;05/09/2005;06/09/2005;México
Otros;Privateacher English Program;OBM;16;Asistencia;OBM;05/11/2004;06/11/2004;Ecuador
Curso;Sistema Operativo Linux y Linux Avanzado;GMS Consultoría Informática;32;Asistencia;GMS Grupo Microsistemas;02/2003;02/2003;Ecuador
Curso;Diseño y Construcción de Páginas WEB;Facultad de Ingeniería de Sistemas (EPN);28;Aprobación;Escuela Politécnica Nacional (EPN);08/1997;08/1997;Ecuador
Jornada;III Jornadas de Ingeniería de Sistemas Informáticos y de Computación;Facultad de Ingeniería de Sistemas (EPN);24;Asistencia;Escuela Politécnica Nacional (EPN);28/05/1997;30/05/1997;Ecuador
